,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
37,Atlas Copco IAS GmbH,"Atlas Copco IAS GmbH is located in Bretten, Baden-Württemberg, Germany and is part of the Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Industry. Atlas Copco IAS GmbH has      427 employees at this location and generates $64.79 million in sales (USD). (Sales figure is estimated). There are      894 companies in the Atlas Copco IAS GmbH corporate family.",     427,$64.79 million,1.0,2.48
38,ATLAS COPCO IAS GMBH,"ATLAS COPCO IAS GMBH is located in STRASBOURG, GRAND EST, France and is part of the Miscellaneous Nondurable Goods Merchant Wholesalers Industry. ATLAS COPCO IAS GMBH has       10 employees at this location.  There are      894 companies in the ATLAS COPCO IAS GMBH corporate family.",      10,,,
39,Universität des Saarlandes,"Universität des Saarlandes is located in Homburg, Saarland, Germany and is part of the General Medical and Surgical Hospitals Industry. Universität des Saarlandes has    5,000 employees at this location and generates $400.95 million in sales (USD). (Sales figure is estimated). There are       27 companies in the Universität des Saarlandes corporate family.","   5,000",$400.95 million,1.0,1.72
40,Universität des Saarlandes,"Universität des Saarlandes is located in Saarbrücken, Saarland, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität des Saarlandes has    2,363 total employees across all of its locations and generates $225.33 million in sales (USD). (Employees and Sales figures are modelled). There are       27 companies in the Universität des Saarlandes corporate family.",,$225.33 million,2.0,2.23
41,Universität des Saarlandes,"Universität des Saarlandes is located in Saarbrücken, Saarland, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität des Saarlandes has       60 employees at this location and generates $7.24 million in sales (USD). (Sales figure is estimated). There are       27 companies in the Universität des Saarlandes corporate family.",      60,$7.24 million,2.0,2.23
42,Hahn-Schickard-Gesellschaft für angewandte Forschung e.V.,"Hahn-Schickard-Gesellschaft für angewandte Forschung e.V. is located in Villingen-Schwenningen, Baden-Württemberg, Germany and is part of the Scientific Research and Development Services Industry. Hahn-Schickard-Gesellschaft für angewandte Forschung e.V. has        4 total employees across all of its locations and generates $310,536 in sales (USD). (Employees and Sales figures are modelled). There are        3 companies in the Hahn-Schickard-Gesellschaft",,"$310,536",1.0,2.23
43,Hahn-Schickard-Gesellschaft für angewandte Forschung e.V.,"Hahn-Schickard-Gesellschaft für angewandte Forschung e.V. is located in Stuttgart, Baden-Württemberg, Germany and is part of the Business, Professional, Labor, Political, and Similar Organizations Industry.  There are        3 companies in the Hahn-Schickard-Gesellschaft für angewandte Forschung e.V. corporate family.",,,1.0,2.23
44,Hahn-Schickard-Gesellschaft für angewandte Forschung e.V.,"Hahn-Schickard-Gesellschaft für angewandte Forschung e.V. is located in Freiburg im Breisgau, Baden-Württemberg, Germany and is part of the Scientific Research and Development Services Industry.  There are        3 companies in the Hahn-Schickard-Gesellschaft für angewandte Forschung e.V. corporate family.",,,1.0,2.23
45,Dadora GmbH,"Dadora GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Dadora GmbH has        4 employees at this location and generates $230,135 in sales (USD). (Sales figure is estimated). There are        2 companies in the Dadora GmbH corporate family.",       4,"$230,135",2.0,2.35
46,Universität Ulm,"Universität Ulm is located in Ulm, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Ulm has    2,395 employees at this location and generates $228.38 million in sales (USD). (Sales figure is modelled). There are       20 companies in the Universität Ulm corporate family.","   2,395",$228.38 million,2.0,2.23
47,Daimler AG,"Daimler's cars may stop on a dime, but they cost a little more than that. Daimler's passenger car business, Mercedes-Benz, is number one in the premium vehicle category worldwide and includes luxury brands Mercedes-AMG and Mercedes-Maybach, as well as its compact Smart brand and the new EQ electric car. It's also the world's biggest manufacturer of commercial vehicles: Its Daimler Trucks, Daimler Buses, and Mercedes-Benz Vans divisions sell vehicle"," 416,501",$182.49 billion,2.0,2.72
48,VisionHealth GmbH,"VisionHealth GmbH is located in München, Bayern, Germany and is part of the Scientific Research and Development Services Industry. VisionHealth GmbH has       13 employees at this location and generates $3,823 in sales (USD).  ",      13,"$3,823",2.0,2.23
49,AISOMA AG,"AISOMA AG is located in Frankfurt am Main, Hessen, Germany and is part of the Computer Systems Design and Related Services Industry. AISOMA AG has        1 employees at this location and generates $289,144 in sales (USD). (Sales figure is estimated). ",       1,"$289,144",3.0,2.35
50,Freie und Hansestadt Hamburg,"Freie und Hansestadt Hamburg is located in Hamburg, Hamburg, Germany and is part of the Executive, Legislative, and Other General Government Support Industry. Freie und Hansestadt Hamburg has      316 total employees across all of its locations and generates $21.21 million in sales (USD). (Employees and Sales figures are modelled). There are      601 companies in the Freie und Hansestadt Hamburg corporate family.",,$21.21 million,,
51,elunic AG,"elunic AG is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. elunic AG has       25 employees at this location and generates $510,747 in sales (USD). (Sales figure is estimated). There are        3 companies in the elunic AG corporate family.",      25,"$510,747",2.0,2.35
52,sonoware GmbH,"sonoware GmbH is located in Kiel, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. sonoware GmbH has        4 employees at this location and generates $170,249 in sales (USD). (Sales figure is estimated). ",       4,"$170,249",3.0,2.35
53,CloudMade Deutschland GmbH,"CloudMade Deutschland GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. CloudMade Deutschland GmbH generates $623,131 in sales (USD).  There are        4 companies in the CloudMade Deutschland GmbH corporate family.",,"$623,131",3.0,2.35
54,SOLVATIO AG,"SOLVATIO AG is located in Rimpar, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. SOLVATIO AG has       47 employees at this location and generates $5.74 million in sales (USD). (Sales figure is estimated). ",      47,$5.74 million,1.0,2.35
55,Healthcare X.0 GmbH,"Healthcare X.0 GmbH is located in Hamburg, Hamburg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. Healthcare X.0 GmbH has        4 total employees across all of its locations and generates $489,774 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",       4,"$489,774",4.0,2.23
56,CONTINENTAL AG,"CONTINENTAL AG is located in PORT ELIZABETH, Eastern Cape, South Africa and is part of the Rubber Product Manufacturing Industry. CONTINENTAL AG has       74 total employees across all of its locations and generates $9.31 million in sales (USD). (Employees and Sales figures are modelled). There are    1,509 companies in the CONTINENTAL AG corporate family.",      74,$9.31 million,,
57,Solandeo GmbH,"Solandeo GmbH is located in Berlin, Berlin, Germany and is part of the Architectural, Engineering, and Related Services Industry. Solandeo GmbH has       30 employees at this location and generates $2.80 million in sales (USD). (Sales figure is estimated). ",      30,$2.80 million,3.0,2.78
58,Rasa Technologies GmbH,"Rasa Technologies GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Rasa Technologies GmbH has       26 employees at this location and generates $300,946 in sales (USD). (Sales figure is estimated). There are        3 companies in the Rasa Technologies GmbH corporate family.",      26,"$300,946",3.0,2.35
59,d25.io GmbH,"d25.io GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. d25.io GmbH has        3 total employees across all of its locations and generates $268,000 in sales (USD). (Employees and Sales figures are modelled). ",       3,"$268,000",4.0,2.35
60,innogy SE,"innogy SE is located in Essen, Nordrhein-Westfalen, Germany and is part of the Electric Power Generation, Transmission and Distribution Industry. innogy SE has   42,000 total employees across all of its locations and generates $4.06 billion in sales (USD).  There are    1,075 companies in the innogy SE corporate family.",     544,$4.06 billion,3.0,2.65
61,innogy SE,"innogy SE is located in Siegen, Nordrhein-Westfalen, Germany and is part of the Electric Power Generation, Transmission and Distribution Industry.  There are    1,075 companies in the innogy SE corporate family.",,,3.0,2.65
62,innogy SE,"innogy SE is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Electric Power Generation, Transmission and Distribution Industry.  There are    1,075 companies in the innogy SE corporate family.",,,3.0,2.65
63,innogy SE,"innogy SE is located in Saffig, Rheinland-Pfalz, Germany and is part of the Electric Power Generation, Transmission and Distribution Industry.  There are    1,075 companies in the innogy SE corporate family.",,,3.0,2.65
64,SmartMunk GmbH,"SmartMunk GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. SmartMunk GmbH has        6 employees at this location and generates $421,822 in sales (USD).  ",       6,"$421,822",2.0,2.35
65,HEIDELBERGER DRUCKMASCHINEN AG,"HEIDELBERGER DRUCKMASCHINEN AG is located in VIGONZA, PADOVA, Italy and is part of the Machinery, Equipment, and Supplies Merchant Wholesalers Industry. HEIDELBERGER DRUCKMASCHINEN AG has        2 employees at this location and generates $549,574 in sales (USD). (Sales figure is modelled). There are      164 companies in the HEIDELBERGER DRUCKMASCHINEN AG corporate family.",       2,"$549,574",,
66,Heidelberger Druckmaschinen AG,"Heidelberger Druckmaschinen AG is located in Dover, NH, United States.
Heidelberger Druckmaschinen AG has        6 total employees across all of its locations and generates $94,459 in sales (USD). (Employees and Sales figures are modelled). ",       6,"$94,459",,
67,Photonics BW e.V.,"Photonics BW e.V. is located in Aalen, Baden-Württemberg, Germany and is part of the Civic and Social Organizations Industry. Photonics BW e.V. has        4 total employees across all of its locations and generates $177,000 in sales (USD). (Employees and Sales figures are modelled). ",       4,"$177,000",2.0,2.23
68,Photonics BW e.V.,"Photonics BW e.V. is located in Oberkochen, Baden-Württemberg, Germany and is part of the Business, Professional, Labor, Political, and Similar Organizations Industry. Photonics BW e.V. has        3 total employees across all of its locations and generates $153,000 in sales (USD). (Employees and Sales figures are modelled). ",       3,"$153,000",2.0,2.23
69,ferret go GmbH,"ferret go GmbH is located in Bernau bei Berlin, Brandenburg, Germany and is part of the Computer Systems Design and Related Services Industry. ferret go GmbH has       11 employees at this location and generates $407,162 in sales (USD). (Sales figure is estimated). ",      11,"$407,162",1.0,2.35
70,KEB Automation KG,"KEB Automation KG is located in Barntrup, Nordrhein-Westfalen, Germany and is part of the Electrical Equipment Manufacturing Industry. KEB Automation KG has      800 employees at this location and generates $118.21 million in sales (USD). (Sales figure is estimated). ",     800,$118.21 million,1.0,2.48
71,Keb Automation KG,"Keb Automation KG is located in Unknown, Belgium and is part of the Household Appliances and Electrical and Electronic Goods Merchant Wholesalers Industry. Keb Automation KG has        1 employees at this location and generates $531,000 in sales (USD). (Sales figure is modelled). ",       1,"$531,000",,
72,KEB AUTOMATION KG,"KEB AUTOMATION KG is located in MADRID, Spain and is part of the Advertising, Public Relations, and Related Services Industry. KEB AUTOMATION KG has        1 total employees across all of its locations and generates $48,000 in sales (USD). (Employees and Sales figures are modelled). ",       1,"$48,000",,
73,Pattern Recognition Company GmbH,"Pattern Recognition Company GmbH is located in Lübeck, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. Pattern Recognition Company GmbH has       11 employees at this location and generates $826,125 in sales (USD). (Sales figure is estimated). ",      11,"$826,125",1.0,2.35
74,enersis Europe GmbH,"enersis Europe GmbH is located in Kleinmachnow, Brandenburg, Germany and is part of the Computer Systems Design and Related Services Industry. enersis Europe GmbH has       21 employees at this location and generates $418,964 in sales (USD). (Sales figure is estimated). There are        2 companies in the enersis Europe GmbH corporate family.",      21,"$418,964",2.0,2.35
75,SAP SE,"SAP SE's software forms a company's nerve center. Its enterprise resource planning software integrates back-office functions such as analytics, accounting, distribution and human resources, and comes in on-premises and cloud-linked forms. While the sale and servicing of its legacy on-premises offering brings in the majority of the company's revenue, SAP is going all-in on cloud computing and software-as-a-service with its flagship application suite","  17,323",$32.33 billion,1.0,2.35
76,verlingo GmbH,"verlingo GmbH is located in Hannover, Niedersachsen, Germany and is part of the Computer Systems Design and Related Services Industry. verlingo GmbH has        3 total employees across all of its locations and generates $389,459 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the verlingo GmbH corporate family.",,"$389,459",2.0,2.35
77,verlingo GmbH,"verlingo GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry.  There are        2 companies in the verlingo GmbH corporate family.",,,2.0,2.35
78,Blue Yonder GmbH,"Blue Yonder GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Professional and Commercial Equipment and Supplies Merchant Wholesalers Industry. Blue Yonder GmbH has      124 employees at this location and generates $20.65 million in sales (USD).  There are    2,514 companies in the Blue Yonder GmbH corporate family.",     124,$20.65 million,1.0,2.23
79,Forschungszentrum Jülich GmbH,"Forschungszentrum Jülich GmbH is located in Jülich, Nordrhein-Westfalen, Germany and is part of the Scientific Research and Development Services Industry. Forschungszentrum Jülich GmbH has    5,776 employees at this location and generates $174.84 million in sales (USD).  There are    7,416 companies in the Forschungszentrum Jülich GmbH corporate family.","   5,776",$174.84 million,3.0,2.23
80,Forschungszentrum Jülich GmbH,"Forschungszentrum Jülich GmbH is located in Jülich, Nordrhein-Westfalen, Germany and is part of the Scientific Research and Development Services Industry.  There are    7,416 companies in the Forschungszentrum Jülich GmbH corporate family.",,,3.0,2.23
81,Forschungszentrum Jülich GmbH,"Forschungszentrum Jülich GmbH is located in Jülich, Nordrhein-Westfalen, Germany and is part of the Scientific Research and Development Services Industry.  There are    7,416 companies in the Forschungszentrum Jülich GmbH corporate family.",,,3.0,2.23
82,Forschungszentrum Jülich GmbH,"Forschungszentrum Jülich GmbH is located in Erlangen, Bayern, Germany and is part of the Scientific Research and Development Services Industry.  There are    7,416 companies in the Forschungszentrum Jülich GmbH corporate family.",,,3.0,2.23
83,HealthVision GmbH,"HealthVision GmbH is located in Magden, AARGAU, Switzerland and is part of the Outpatient Care Centers Industry. HealthVision GmbH has        4 total employees across all of its locations and generates $265,508 in sales (USD). (Employees and Sales figures are modelled). ",       4,"$265,508",,
84,Hamburger Sternwarte,"Hamburger Sternwarte is located in Hamburg, Hamburg, Germany and is part of the Other Schools and Instruction Industry. Hamburger Sternwarte has       15 employees at this location and generates $925,000 in sales (USD). (Sales figure is modelled). ",      15,"$925,000",,
85,ConRat WebSolutions GmbH,"ConRat WebSolutions GmbH is located in Wanfried, Hessen, Germany and is part of the Computer Systems Design and Related Services Industry. ConRat WebSolutions GmbH has        5 employees at this location and generates $836,688 in sales (USD). (Sales figure is estimated). ",       5,"$836,688",2.0,2.35
86,Audi AG,"Audi AG is located in Unknown, Belgium and is part of the Automotive Repair and Maintenance Industry. Audi AG has        2 total employees across all of its locations and generates $152,000 in sales (USD). (Employees and Sales figures are modelled). ",       2,"$152,000",,
87,eccuro GmbH,"eccuro GmbH is located in Hof, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. eccuro GmbH has        2 total employees across all of its locations and generates $118,018 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",       2,"$118,018",2.0,2.35
88,Universität Bremen,"Universität Bremen is located in Bremen, Bremen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Bremen has    3,500 employees at this location and generates $333.75 million in sales (USD). (Sales figure is modelled). There are       28 companies in the Universität Bremen corporate family.","   3,500",$333.75 million,2.0,2.23
89,Bosch.IO GmbH,"Bosch.IO GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Bosch.IO GmbH has      500 employees at this location and generates $55.45 million in sales (USD). (Sales figure is estimated). There are    1,774 companies in the Bosch.IO GmbH corporate family.",     500,$55.45 million,1.0,2.35
90,BOSCH.IO GMBH,"BOSCH.IO GMBH is located in MILANO, MILANO, Italy and is part of the Software Publishers Industry. BOSCH.IO GMBH has        1 employees at this location and generates $126,501 in sales (USD). (Sales figure is modelled). There are    1,774 companies in the BOSCH.IO GMBH corporate family.",       1,"$126,501",,
91,Bosch.IO GmbH,"Bosch.IO GmbH is located in Waiblingen, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry.  There are    1,774 companies in the Bosch.IO GmbH corporate family.",,,1.0,2.35
92,Bosch.IO GmbH,"Bosch.IO GmbH is located in Immenstaad am Bodensee, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry.  There are    1,774 companies in the Bosch.IO GmbH corporate family.",,,1.0,2.35
93,Bosch.IO GmbH,"Bosch.IO GmbH is located in Ludwigsburg, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry.  There are    1,774 companies in the Bosch.IO GmbH corporate family.",,,1.0,2.35
94,Hamburg Tourismus GmbH,"Hamburg Tourismus GmbH is located in Hamburg, Hamburg, Germany and is part of the Specialized Design Services Industry. Hamburg Tourismus GmbH has       88 employees at this location and generates $9.74 million in sales (USD).  There are      601 companies in the Hamburg Tourismus GmbH corporate family.",      88,$9.74 million,1.0,2.23
95,SIGNATRIX,"SIGNATRIX is located in Coimbatore, Tamil Nadu, India.
SIGNATRIX has        9 total employees across all of its locations. (Employees figure is modelled). ",       9,,,
96,biovariance GmbH,"biovariance GmbH is located in Waldsassen, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. biovariance GmbH has       19 employees at this location and generates $2.12 million in sales (USD). (Sales figure is estimated). There are        2 companies in the biovariance GmbH corporate family.",      19,$2.12 million,3.0,2.35
97,biovariance GmbH,"biovariance GmbH is located in München, Bayern, Germany and is part of the Architectural, Engineering, and Related Services Industry.  There are        2 companies in the biovariance GmbH corporate family.",,,,
98,ISR Information Products AG,"ISR Information Products AG is located in Braunschweig, Niedersachsen, Germany and is part of the Architectural, Engineering, and Related Services Industry. ISR Information Products AG has      181 employees at this location and generates $25.14 million in sales (USD).  There are        5 companies in the ISR Information Products AG corporate family.",     181,$25.14 million,1.0,2.23
99,ISR Information Products AG,"ISR Information Products AG is located in München, Bayern, Germany and is part of the Architectural, Engineering, and Related Services Industry.  There are        5 companies in the ISR Information Products AG corporate family.",,,1.0,2.23
100,ISR Information Products AG,"ISR Information Products AG is located in Köln, Nordrhein-Westfalen, Germany and is part of the Architectural, Engineering, and Related Services Industry.  There are        5 companies in the ISR Information Products AG corporate family.",,,1.0,2.23
